Id,Label,Name,Wikidata ID,Entitätstyp,Geburtsdatum,Sterbedatum,GND ID
506,Georges Contenau,Georges Contenau,http://www.wikidata.org/wiki/Q1508852,Person,1877-04-09T00:00:00Z,1964-03-22T00:00:00Z,https://d-nb.info/gnd/10110958X
507,Jean-Jacques Glassner,Jean-Jacques Glassner,http://www.wikidata.org/wiki/Q3166276,Person,1944-01-01T00:00:00Z,,https://d-nb.info/gnd/1021318531
508,Jean-Marie Durand,Jean-Marie Durand,http://www.wikidata.org/wiki/Q3167649,Person,1940-11-13T00:00:00Z,,https://d-nb.info/gnd/138794839
509,Jules-Justin Sauveplane,Jules-Justin Sauveplane,http://www.wikidata.org/wiki/Q3188364,Person,1862-01-01T00:00:00Z,1928-01-01T00:00:00Z,
510,Leon De Meyer,Leon De Meyer,http://www.wikidata.org/wiki/Q3270879,Person,1928-12-31T00:00:00Z,2006-11-04T00:00:00Z,https://d-nb.info/gnd/137661819
511,Raymond-Jacques Tournay,Raymond-Jacques Tournay,http://www.wikidata.org/wiki/Q3420612,Person,1912-03-28T00:00:00Z,1999-11-25T00:00:00Z,https://d-nb.info/gnd/1043839011
512,Anson Rainey,Anson Rainey,http://www.wikidata.org/wiki/Q3491605,Person,1930-01-11T00:00:00Z,2011-02-19T00:00:00Z,https://d-nb.info/gnd/17232436X
513,Stephen Herbert Langdon,Stephen Herbert Langdon,http://www.wikidata.org/wiki/Q4285160,Person,1876-05-08T00:00:00Z,1937-05-19T00:00:00Z,https://d-nb.info/gnd/121281396
514,Albert Tobias Clay,Albert Tobias Clay,http://www.wikidata.org/wiki/Q4711331,Person,1866-01-01T00:00:00Z,1925-01-01T00:00:00Z,https://d-nb.info/gnd/116541733
515,Alexander Heidel,Alexander Heidel,http://www.wikidata.org/wiki/Q4719108,Person,1907-01-01T00:00:00Z,1955-01-01T00:00:00Z,https://d-nb.info/gnd/1025857283
516,Amélie Kuhrt,Amélie Kuhrt,http://www.wikidata.org/wiki/Q4749612,Person,1944-09-23T00:00:00Z,2023-01-02T00:00:00Z,https://d-nb.info/gnd/143238124
517,Christopher Johnston,Christopher Johnston,http://www.wikidata.org/wiki/Q5112644,Person,1856-12-08T00:00:00Z,1914-06-26T00:00:00Z,
518,Claude Hermann Walter Johns,Claude Hermann Walter Johns,http://www.wikidata.org/wiki/Q5128884,Person,1857-02-20T00:00:00Z,1920-08-20T00:00:00Z,https://d-nb.info/gnd/142190888
519,H. W. F. Saggs,H. W. F. Saggs,http://www.wikidata.org/wiki/Q712677,Person,1920-12-02T00:00:00Z,2005-08-31T00:00:00Z,https://d-nb.info/gnd/10751317X
520,Archibald Sayce,Archibald Sayce,http://www.wikidata.org/wiki/Q716584,Person,1845-09-25T00:00:00Z,1933-02-04T00:00:00Z,https://d-nb.info/gnd/117023779
521,Bernd Funck,Bernd Funck,http://www.wikidata.org/wiki/Q823485,Person,1945-01-02T00:00:00Z,1996-11-15T00:00:00Z,https://d-nb.info/gnd/105156485
522,Johannes Renger,Johannes Renger,http://www.wikidata.org/wiki/Q1698237,Person,1934-09-18T00:00:00Z,2023-03-12T00:00:00Z,https://d-nb.info/gnd/121653331
523,Jussi Aro,Jussi Aro,http://www.wikidata.org/wiki/Q1714074,Person,1928-06-05T00:00:00Z,1983-03-11T00:00:00Z,https://d-nb.info/gnd/1191135454
524,Klaas Veenhof,Klaas Veenhof,http://www.wikidata.org/wiki/Q1744174,Person,1935-11-09T00:00:00Z,2023-07-28T00:00:00Z,https://d-nb.info/gnd/123217814
