Source,Target,Type,Id,Label,Weight,Art der Beziehung
454,203,Directed,894,Mitglied von,1,Mitglied von
454,35,Directed,895,angestellt bei,1,angestellt bei
455,170,Directed,896,Mitglied von,1,Mitglied von
455,74,Directed,897,angestellt bei,1,angestellt bei
455,171,Directed,898,Mitglied von,1,Mitglied von
455,176,Directed,899,Mitglied von,1,Mitglied von
455,204,Directed,900,Mitglied von,1,Mitglied von
456,12,Directed,901,angestellt bei,1,angestellt bei
457,72,Directed,902,studiert an,1,studiert an
457,205,Directed,903,Mitglied von,1,Mitglied von
458,26,Directed,904,studiert an,1,studiert an
458,143,Directed,905,Mitglied von,1,Mitglied von
458,29,Directed,906,angestellt bei,1,angestellt bei
458,42,Directed,908,angestellt bei,1,angestellt bei
459,73,Directed,909,studiert an,1,studiert an
460,74,Directed,910,studiert an,1,studiert an
460,150,Directed,911,angestellt bei,1,angestellt bei
461,35,Directed,912,angestellt bei,1,angestellt bei
461,75,Directed,914,studiert an,1,studiert an
462,12,Directed,915,angestellt bei,1,angestellt bei
462,181,Directed,916,Mitglied von,1,Mitglied von
462,196,Directed,918,Mitglied von,1,Mitglied von
409,96,Directed,919,Mitglied von,1,Mitglied von
409,206,Directed,920,Mitglied von,1,Mitglied von
409,170,Directed,921,Mitglied von,1,Mitglied von
410,12,Directed,923,angestellt bei,1,angestellt bei
466,24,Directed,924,angestellt bei,1,angestellt bei
467,76,Directed,925,studiert an,1,studiert an
468,77,Directed,926,studiert an,1,studiert an
