Source,Target,Type,Id,Label,Weight,Art der Beziehung
618,194,Directed,405,Mitglied von,1,Mitglied von
618,234,Directed,407,angestellt bei,1,angestellt bei
618,235,Directed,408,angestellt bei,1,angestellt bei
618,236,Directed,409,angestellt bei,1,angestellt bei
618,237,Directed,410,angestellt bei,1,angestellt bei
619,251,Directed,411,studiert an,1,studiert an
620,26,Directed,412,angestellt bei,1,angestellt bei
620,238,Directed,413,angestellt bei,1,angestellt bei
621,26,Directed,414,studiert an,1,studiert an
621,435,Directed,415,Schüler*in von,1,Schüler*in von
621,134,Directed,416,angestellt bei,1,angestellt bei
621,397,Directed,417,Schüler*in von,1,Schüler*in von
621,222,Directed,418,angestellt bei,1,angestellt bei
621,35,Directed,419,angestellt bei,1,angestellt bei
621,30,Directed,420,angestellt bei,1,angestellt bei
622,47,Directed,421,studiert an,1,studiert an
622,170,Directed,422,Mitglied von,1,Mitglied von
622,70,Directed,423,angestellt bei,1,angestellt bei
623,252,Directed,424,studiert an,1,studiert an
623,170,Directed,425,Mitglied von,1,Mitglied von
623,47,Directed,426,angestellt bei,1,angestellt bei
623,184,Directed,427,Mitglied von,1,Mitglied von
623,9,Directed,428,angestellt bei,1,angestellt bei
624,49,Directed,429,studiert an,1,studiert an
624,52,Directed,430,studiert an,1,studiert an
625,12,Directed,431,studiert an,1,studiert an
625,91,Directed,432,angestellt bei,1,angestellt bei
625,253,Directed,433,studiert an,1,studiert an
625,83,Directed,434,studiert an,1,studiert an
626,44,Directed,435,angestellt bei,1,angestellt bei
627,7,Directed,436,studiert an,1,studiert an
627,19,Directed,437,angestellt bei,1,angestellt bei
627,72,Directed,438,studiert an,1,studiert an
386,39,Directed,439,studiert an,1,studiert an
289,0,Directed,440,studiert an,1,studiert an
289,168,Directed,441,Mitglied von,1,Mitglied von
289,55,Directed,442,angestellt bei,1,angestellt bei
289,169,Directed,443,Mitglied von,1,Mitglied von
289,170,Directed,444,Mitglied von,1,Mitglied von
289,143,Directed,445,Mitglied von,1,Mitglied von
289,9,Directed,446,angestellt bei,1,angestellt bei
290,1,Directed,447,studiert an,1,studiert an
290,171,Directed,448,Mitglied von,1,Mitglied von
290,74,Directed,449,angestellt bei,1,angestellt bei
290,172,Directed,451,Mitglied von,1,Mitglied von
291,446,Directed,452,Schüler*in von,1,Schüler*in von
291,2,Directed,453,angestellt bei,1,angestellt bei
291,170,Directed,454,Mitglied von,1,Mitglied von
291,102,Directed,455,angestellt bei,1,angestellt bei
535,291,Directed,1080,Schüler*in von,1,Schüler*in von
291,3,Directed,457,angestellt bei,1,angestellt bei
291,4,Directed,458,studiert an,1,studiert an
291,173,Directed,459,Mitglied von,1,Mitglied von
291,143,Directed,460,Mitglied von,1,Mitglied von
291,174,Directed,461,Mitglied von,1,Mitglied von
291,70,Directed,462,angestellt bei,1,angestellt bei
536,291,Directed,1081,Schüler*in von,1,Schüler*in von
292,103,Directed,466,angestellt bei,1,angestellt bei
294,5,Directed,467,angestellt bei,1,angestellt bei
295,5,Directed,468,angestellt bei,1,angestellt bei
296,5,Directed,469,angestellt bei,1,angestellt bei
297,175,Directed,470,Mitglied von,1,Mitglied von
297,104,Directed,471,angestellt bei,1,angestellt bei
301,5,Directed,476,studiert an,1,studiert an
302,10,Directed,477,angestellt bei,1,angestellt bei
303,12,Directed,478,angestellt bei,1,angestellt bei
304,50,Directed,479,angestellt bei,1,angestellt bei
305,50,Directed,480,angestellt bei,1,angestellt bei
307,7,Directed,481,studiert an,1,studiert an
307,70,Directed,482,angestellt bei,1,angestellt bei
308,107,Directed,483,angestellt bei,1,angestellt bei
309,106,Directed,484,angestellt bei,1,angestellt bei
311,173,Directed,485,Mitglied von,1,Mitglied von
313,108,Directed,486,angestellt bei,1,angestellt bei
318,8,Directed,487,angestellt bei,1,angestellt bei
318,109,Directed,489,angestellt bei,1,angestellt bei
326,110,Directed,490,angestellt bei,1,angestellt bei
332,440,Directed,491,Schüler*in von,1,Schüler*in von
332,2,Directed,492,studiert an,1,studiert an
332,9,Directed,493,studiert an,1,studiert an
335,10,Directed,494,studiert an,1,studiert an
291,539,Directed,495,Schüler*in von,1,Schüler*in von
343,11,Directed,496,angestellt bei,1,angestellt bei
343,176,Directed,497,Mitglied von,1,Mitglied von
344,177,Directed,499,Mitglied von,1,Mitglied von
344,47,Directed,500,angestellt bei,1,angestellt bei
344,178,Directed,501,Mitglied von,1,Mitglied von
344,9,Directed,502,angestellt bei,1,angestellt bei
345,12,Directed,503,studiert an,1,studiert an
345,179,Directed,504,Mitglied von,1,Mitglied von
345,14,Directed,505,studiert an,1,studiert an
345,13,Directed,506,studiert an,1,studiert an
345,180,Directed,508,Mitglied von,1,Mitglied von
